|Epoch:72|Loss:17.624|Val_MSE	19.331|Best_Epoch:71|lr:0.001
|Epoch:73|Loss:17.556|Val_MSE	19.204|Best_Epoch:71|lr:0.001
|Epoch:74|Loss:17.414|Val_MSE	19.409|Best_Epoch:71|lr:0.001
|Epoch:75|Loss:17.389|Val_MSE	19.380|Best_Epoch:71|lr:0.001
|Epoch:76|Loss:17.276|Val_MSE	19.211|Best_Epoch:71|lr:0.001
|Epoch:77|Loss:17.169|Val_MSE	19.085|Best_Epoch:77|lr:0.001
|Epoch:78|Loss:17.110|Val_MSE	19.157|Best_Epoch:77|lr:0.001
|Epoch:79|Loss:17.041|Val_MSE	19.103|Best_Epoch:77|lr:0.001
|Epoch:80|Loss:17.047|Val_MSE	18.980|Best_Epoch:80|lr:0.001
|Epoch:81|Loss:16.976|Val_MSE	19.011|Best_Epoch:80|lr:0.001
|Epoch:82|Loss:16.888|Val_MSE	19.171|Best_Epoch:80|lr:0.001
|Epoch:83|Loss:16.763|Val_MSE	19.199|Best_Epoch:80|lr:0.001
|Epoch:84|Loss:16.700|Val_MSE	19.127|Best_Epoch:80|lr:0.001
|Epoch:85|Loss:16.628|Val_MSE	19.263|Best_Epoch:80|lr:0.001
|Epoch:86|Loss:16.615|Val_MSE	19.183|Best_Epoch:80|lr:0.001
|Epoch:87|Loss:16.524|Val_MSE	19.113|Best_Epoch:80|lr:0.001
|Epoch:88|Loss:16.527|Val_MSE	19.320|Best_Epoch:80|lr:0.001
|Epoch:89|Loss:16.413|Val_MSE	19.138|Best_Epoch:80|lr:0.001
|Epoch:90|Loss:16.400|Val_MSE	18.976|Best_Epoch:90|lr:0.001
|Epoch:91|Loss:16.247|Val_MSE	19.157|Best_Epoch:90|lr:0.001
|Epoch:92|Loss:16.214|Val_MSE	19.160|Best_Epoch:90|lr:0.001
|Epoch:93|Loss:16.118|Val_MSE	19.310|Best_Epoch:90|lr:0.001
|Epoch:94|Loss:16.144|Val_MSE	19.093|Best_Epoch:90|lr:0.001
|Epoch:95|Loss:15.985|Val_MSE	19.129|Best_Epoch:90|lr:0.001
|Epoch:96|Loss:15.947|Val_MSE	19.143|Best_Epoch:90|lr:0.001
|Epoch:97|Loss:15.900|Val_MSE	19.095|Best_Epoch:90|lr:0.001
|Epoch:98|Loss:15.812|Val_MSE	19.234|Best_Epoch:90|lr:0.001
|Epoch:99|Loss:15.852|Val_MSE	19.191|Best_Epoch:90|lr:0.001
|Epoch:100|Loss:15.761|Val_MSE	19.376|Best_Epoch:90|lr:0.001
|Epoch:101|Loss:15.679|Val_MSE	19.475|Best_Epoch:90|lr:0.001
|Epoch:102|Loss:15.531|Val_MSE	19.044|Best_Epoch:90|lr:0.001
|Epoch:103|Loss:15.539|Val_MSE	19.392|Best_Epoch:90|lr:0.001
|Epoch:104|Loss:15.511|Val_MSE	19.153|Best_Epoch:90|lr:0.001
|Epoch:105|Loss:15.447|Val_MSE	19.212|Best_Epoch:90|lr:0.001
